date,weekday,high_f,low_f,precip_in,cloud_pct,sunrise,sunset,conditions
2015-11-12,Thu,72,49,0.0,27,6:45 AM,5:04 PM,Overcast
2015-11-13,Fri,62,51,0.0,12,6:46 AM,5:03 PM,Mostly clear
2015-11-14,Sat,56,43,0.0,0,6:47 AM,5:03 PM,Clear
2015-11-15,Sun,60,38,0.0,29,6:48 AM,5:02 PM,Overcast
2015-11-16,Mon,64,39,0.0,44,6:49 AM,5:01 PM,Overcast
2015-11-17,Tue,65,44,0.0,78,6:50 AM,5:01 PM,Overcast
2015-11-18,Wed,69,52,0.03,74,6:51 AM,5:00 PM,Light drizzle
2015-11-19,Thu,68,63,0.76,91,6:52 AM,4:59 PM,Rain
2015-11-20,Fri,62,46,0.0,16,6:53 AM,4:59 PM,Overcast
2015-11-21,Sat,58,40,0.0,50,6:54 AM,4:58 PM,Overcast
2015-11-22,Sun,51,40,0.07,68,6:55 AM,4:58 PM,Drizzle
2015-11-23,Mon,44,34,0.0,0,6:56 AM,4:58 PM,Clear
2015-11-24,Tue,54,31,0.0,23,6:57 AM,4:57 PM,Overcast
2015-11-25,Wed,57,35,0.0,25,6:58 AM,4:57 PM,Overcast
2015-11-26,Thu,67,42,0.0,5,6:59 AM,4:56 PM,Mostly clear
2015-11-27,Fri,68,45,0.0,30,7:00 AM,4:56 PM,Overcast
2015-11-28,Sat,69,47,0.0,96,7:01 AM,4:56 PM,Overcast
2015-11-29,Sun,66,53,0.02,83,7:02 AM,4:55 PM,Light drizzle
2015-11-30,Mon,52,46,0.51,100,7:02 AM,4:55 PM,Heavy drizzle
2015-12-01,Tue,55,45,0.36,100,7:03 AM,4:55 PM,Light rain
2015-12-02,Wed,64,53,0.13,100,7:04 AM,4:55 PM,Drizzle
2015-12-03,Thu,61,43,0.02,85,7:05 AM,4:55 PM,Light drizzle
2015-12-04,Fri,52,37,0.0,24,7:06 AM,4:55 PM,Overcast
